,Insured,Not_Insured,County,Year,Percent_Insured,Percent_Uninsured
0,52679,8602,Anderson,2010,85.96,14.04
1,30357,8542,Bedford,2010,78.04,21.96
2,10768,2333,Benton,2010,82.19,17.81
3,7957,1846,Bledsoe,2010,81.17,18.83
4,86269,15189,Blount,2010,85.03,14.97
5,68534,13911,Bradley,2010,83.13,16.87
6,27800,5493,Campbell,2010,83.5,16.5
7,9434,2038,Cannon,2010,82.24,17.76
8,18977,3656,Carroll,2010,83.85,16.15
9,38093,8272,Carter,2010,82.16,17.84
10,28995,5523,Cheatham,2010,84.0,16.0
11,11261,2187,Chester,2010,83.74,16.26
12,21844,4122,Claiborne,2010,84.13,15.87
13,5069,1167,Clay,2010,81.29,18.71
14,24125,5285,Cocke,2010,82.03,17.97
15,36547,7384,Coffee,2010,83.19,16.81
16,9720,2371,Crockett,2010,80.39,19.61
17,33284,7963,Cumberland,2010,80.69,19.31
18,431740,106801,Davidson,2010,80.17,19.83
19,7568,1660,Decatur,2010,82.01,17.99
20,12321,3234,DeKalb,2010,79.21,20.79
21,36010,6621,Dickson,2010,84.47,15.53
22,27595,4811,Dyer,2010,85.15,14.85
23,27500,4736,Fayette,2010,85.31,14.69
24,12107,2679,Fentress,2010,81.88,18.12
25,27224,4990,Franklin,2010,84.51,15.49
26,34587,6441,Gibson,2010,84.3,15.7
27,20000,3960,Giles,2010,83.47,16.53
28,15475,3502,Grainger,2010,81.55,18.45
29,45837,9689,Greene,2010,82.55,17.45
30,9276,1904,Grundy,2010,82.97,17.03
31,41913,10214,Hamblen,2010,80.41,19.59
32,233634,45813,Hamilton,2010,83.61,16.39
33,4571,971,Hancock,2010,82.48,17.52
34,16552,3200,Hardeman,2010,83.8,16.2
35,17323,3763,Hardin,2010,82.15,17.85
36,39812,7247,Hawkins,2010,84.6,15.4
37,13179,2818,Haywood,2010,82.38,17.62
38,19700,3730,Henderson,2010,84.08,15.92
39,21324,4332,Henry,2010,83.12,16.88
40,16392,3405,Hickman,2010,82.8,17.2
41,5653,1217,Houston,2010,82.29,17.71
42,12678,2445,Humphreys,2010,83.83,16.17
43,7759,1720,Jackson,2010,81.85,18.15
44,34374,7237,Jefferson,2010,82.61,17.39
45,11024,2252,Johnson,2010,83.04,16.96
46,311607,53027,Knox,2010,85.46,14.54
47,3731,681,Lake,2010,84.56,15.44
48,18064,3519,Lauderdale,2010,83.7,16.3
49,28750,6176,Lawrence,2010,82.32,17.68
50,8206,1888,Lewis,2010,81.3,18.7
51,23403,4167,Lincoln,2010,84.89,15.11
52,31499,6372,Loudon,2010,83.17,16.83
53,35719,6979,McMinn,2010,83.65,16.35
54,17792,3604,McNairy,2010,83.16,16.84
55,15059,3883,Macon,2010,79.5,20.5
56,68658,12945,Madison,2010,84.14,15.86
57,19625,3963,Marion,2010,83.2,16.8
58,21538,4836,Marshall,2010,81.66,18.34
59,58747,11035,Maury,2010,84.19,15.81
60,8132,1607,Meigs,2010,83.5,16.5
61,30222,6657,Monroe,2010,81.95,18.05
62,134417,21403,Montgomery,2010,86.26,13.74
63,4348,785,Moore,2010,84.71,15.29
64,13820,2697,Morgan,2010,83.67,16.33
65,21857,4264,Obion,2010,83.68,16.32
66,15061,3072,Overton,2010,83.06,16.94
67,5096,1278,Perry,2010,79.95,20.05
68,3074,835,Pickett,2010,78.64,21.36
69,11365,2398,Polk,2010,82.58,17.42
70,48270,11109,Putnam,2010,81.29,18.71
71,21543,4460,Rhea,2010,82.85,17.15
72,37460,6117,Roane,2010,85.96,14.04
73,48171,9792,Robertson,2010,83.11,16.89
74,200034,36554,Rutherford,2010,84.55,15.45
75,15623,3325,Scott,2010,82.45,17.55
76,9711,2026,Sequatchie,2010,82.74,17.26
77,59071,16161,Sevier,2010,78.52,21.48
78,670665,143767,Shelby,2010,82.35,17.65
79,13633,2762,Smith,2010,83.15,16.85
80,9185,1838,Stewart,2010,83.33,16.67
81,106404,19222,Sullivan,2010,84.7,15.3
82,117854,21472,Sumner,2010,84.59,15.41
83,45668,7541,Tipton,2010,85.83,14.17
84,5548,1180,Trousdale,2010,82.46,17.54
85,12174,2352,Unicoi,2010,83.81,16.19
86,13295,2980,Union,2010,81.69,18.31
87,3697,827,Van Buren,2010,81.72,18.28
88,26084,7325,Warren,2010,78.07,21.93
89,85467,15135,Washington,2010,84.96,15.04
90,10052,2232,Wayne,2010,81.83,18.17
91,22581,5064,Weakley,2010,81.68,18.32
92,17299,3745,White,2010,82.2,17.8
93,149970,13859,Williamson,2010,91.54,8.46
94,86631,12556,Wilson,2010,87.34,12.66
95,51838,9447,Anderson,2011,84.59,15.41
96,31089,8060,Bedford,2011,79.41,20.59
97,10609,2424,Benton,2011,81.4,18.6
98,7705,2074,Bledsoe,2011,78.79,21.21
99,85285,16424,Blount,2011,83.85,16.15
100,67955,15233,Bradley,2011,81.69,18.31
101,27713,5497,Campbell,2011,83.45,16.55
102,9439,1933,Cannon,2011,83.0,17.0
103,18915,3638,Carroll,2011,83.87,16.13
104,37885,8340,Carter,2011,81.96,18.04
105,29066,5235,Cheatham,2011,84.74,15.26
106,11090,2388,Chester,2011,82.28,17.72
107,21636,4177,Claiborne,2011,83.82,16.18
108,4939,1224,Clay,2011,80.14,19.86
109,23801,5447,Cocke,2011,81.38,18.62
110,36490,7630,Coffee,2011,82.71,17.29
111,9836,2283,Crockett,2011,81.16,18.84
112,33210,8156,Cumberland,2011,80.28,19.72
113,438566,105807,Davidson,2011,80.56,19.44
114,7495,1691,Decatur,2011,81.59,18.41
115,12513,3172,DeKalb,2011,79.78,20.22
116,35325,7573,Dickson,2011,82.35,17.65
117,27282,4910,Dyer,2011,84.75,15.25
118,27459,4532,Fayette,2011,85.83,14.17
119,12137,2639,Fentress,2011,82.14,17.86
120,27029,5050,Franklin,2011,84.26,15.74
121,34670,6551,Gibson,2011,84.11,15.89
122,19764,4075,Giles,2011,82.91,17.09
123,15437,3558,Grainger,2011,81.27,18.73
124,45643,10164,Greene,2011,81.79,18.21
125,8992,2028,Grundy,2011,81.6,18.4
126,42033,10395,Hamblen,2011,80.17,19.83
127,236177,45805,Hamilton,2011,83.76,16.24
128,4469,983,Hancock,2011,81.97,18.03
129,16205,3148,Hardeman,2011,83.73,16.27
130,17074,3822,Hardin,2011,81.71,18.29
131,39299,7439,Hawkins,2011,84.08,15.92
132,13091,2608,Haywood,2011,83.39,16.61
133,19817,3763,Henderson,2011,84.04,15.96
134,21090,4556,Henry,2011,82.24,17.76
135,15887,3635,Hickman,2011,81.38,18.62
136,5616,1138,Houston,2011,83.15,16.85
137,12435,2556,Humphreys,2011,82.95,17.05
138,7490,1760,Jackson,2011,80.97,19.03
139,34340,7306,Jefferson,2011,82.46,17.54
140,10840,2309,Johnson,2011,82.44,17.56
141,312695,54572,Knox,2011,85.14,14.86
142,3673,695,Lake,2011,84.09,15.91
143,18006,3516,Lauderdale,2011,83.66,16.34
144,28887,6146,Lawrence,2011,82.46,17.54
145,8166,1910,Lewis,2011,81.04,18.96
146,22995,4547,Lincoln,2011,83.49,16.51
147,31467,6405,Loudon,2011,83.09,16.91
148,35496,7339,McMinn,2011,82.87,17.13
149,17658,3689,McNairy,2011,82.72,17.28
150,15147,3981,Macon,2011,79.19,20.81
151,67719,13508,Madison,2011,83.37,16.63
152,19483,3942,Marion,2011,83.17,16.83
153,21491,5022,Marshall,2011,81.06,18.94
154,58842,10998,Maury,2011,84.25,15.75
155,7946,1642,Meigs,2011,82.87,17.13
156,29915,7097,Monroe,2011,80.83,19.17
157,133645,25444,Montgomery,2011,84.01,15.99
158,4304,829,Moore,2011,83.85,16.15
159,13613,2767,Morgan,2011,83.11,16.89
160,21884,4144,Obion,2011,84.08,15.92
161,14988,3166,Overton,2011,82.56,17.44
162,5085,1244,Perry,2011,80.34,19.66
163,3066,879,Pickett,2011,77.72,22.28
164,11198,2542,Polk,2011,81.5,18.5
165,47512,12171,Putnam,2011,79.61,20.39
166,21575,4574,Rhea,2011,82.51,17.49
167,36704,6409,Roane,2011,85.13,14.87
168,48109,10326,Robertson,2011,82.33,17.67
169,201127,39817,Rutherford,2011,83.47,16.53
170,15407,3462,Scott,2011,81.65,18.35
171,9755,2075,Sequatchie,2011,82.46,17.54
172,59352,16914,Sevier,2011,77.82,22.18
173,668860,148501,Shelby,2011,81.83,18.17
174,13663,2737,Smith,2011,83.31,16.69
175,8996,1887,Stewart,2011,82.66,17.34
176,106085,19688,Sullivan,2011,84.35,15.65
177,119621,21253,Sumner,2011,84.91,15.09
178,45688,7540,Tipton,2011,85.83,14.17
179,5477,1208,Trousdale,2011,81.93,18.07
180,12003,2541,Unicoi,2011,82.53,17.47
181,13325,3057,Union,2011,81.34,18.66
182,3612,837,Van Buren,2011,81.19,18.81
183,26430,7078,Warren,2011,78.88,21.12
184,83787,17287,Washington,2011,82.9,17.1
185,9843,2399,Wayne,2011,80.4,19.6
186,22692,4920,Weakley,2011,82.18,17.82
187,17420,3837,White,2011,81.95,18.05
188,151292,15370,Williamson,2011,90.78,9.22
189,86608,13860,Wilson,2011,86.2,13.8
190,52679,8602,Anderson,2010,85.96,14.04
191,30357,8542,Bedford,2010,78.04,21.96
192,10768,2333,Benton,2010,82.19,17.81
193,7957,1846,Bledsoe,2010,81.17,18.83
194,86269,15189,Blount,2010,85.03,14.97
195,68534,13911,Bradley,2010,83.13,16.87
196,27800,5493,Campbell,2010,83.5,16.5
197,9434,2038,Cannon,2010,82.24,17.76
198,18977,3656,Carroll,2010,83.85,16.15
199,38093,8272,Carter,2010,82.16,17.84
200,28995,5523,Cheatham,2010,84.0,16.0
201,11261,2187,Chester,2010,83.74,16.26
202,21844,4122,Claiborne,2010,84.13,15.87
203,5069,1167,Clay,2010,81.29,18.71
204,24125,5285,Cocke,2010,82.03,17.97
205,36547,7384,Coffee,2010,83.19,16.81
206,9720,2371,Crockett,2010,80.39,19.61
207,33284,7963,Cumberland,2010,80.69,19.31
208,431740,106801,Davidson,2010,80.17,19.83
209,7568,1660,Decatur,2010,82.01,17.99
210,12321,3234,DeKalb,2010,79.21,20.79
211,36010,6621,Dickson,2010,84.47,15.53
212,27595,4811,Dyer,2010,85.15,14.85
213,27500,4736,Fayette,2010,85.31,14.69
214,12107,2679,Fentress,2010,81.88,18.12
215,27224,4990,Franklin,2010,84.51,15.49
216,34587,6441,Gibson,2010,84.3,15.7
217,20000,3960,Giles,2010,83.47,16.53
218,15475,3502,Grainger,2010,81.55,18.45
219,45837,9689,Greene,2010,82.55,17.45
220,9276,1904,Grundy,2010,82.97,17.03
221,41913,10214,Hamblen,2010,80.41,19.59
222,233634,45813,Hamilton,2010,83.61,16.39
223,4571,971,Hancock,2010,82.48,17.52
224,16552,3200,Hardeman,2010,83.8,16.2
225,17323,3763,Hardin,2010,82.15,17.85
226,39812,7247,Hawkins,2010,84.6,15.4
227,13179,2818,Haywood,2010,82.38,17.62
228,19700,3730,Henderson,2010,84.08,15.92
229,21324,4332,Henry,2010,83.12,16.88
230,16392,3405,Hickman,2010,82.8,17.2
231,5653,1217,Houston,2010,82.29,17.71
232,12678,2445,Humphreys,2010,83.83,16.17
233,7759,1720,Jackson,2010,81.85,18.15
234,34374,7237,Jefferson,2010,82.61,17.39
235,11024,2252,Johnson,2010,83.04,16.96
236,311607,53027,Knox,2010,85.46,14.54
237,3731,681,Lake,2010,84.56,15.44
238,18064,3519,Lauderdale,2010,83.7,16.3
239,28750,6176,Lawrence,2010,82.32,17.68
240,8206,1888,Lewis,2010,81.3,18.7
241,23403,4167,Lincoln,2010,84.89,15.11
242,31499,6372,Loudon,2010,83.17,16.83
243,35719,6979,McMinn,2010,83.65,16.35
244,17792,3604,McNairy,2010,83.16,16.84
245,15059,3883,Macon,2010,79.5,20.5
246,68658,12945,Madison,2010,84.14,15.86
247,19625,3963,Marion,2010,83.2,16.8
248,21538,4836,Marshall,2010,81.66,18.34
249,58747,11035,Maury,2010,84.19,15.81
250,8132,1607,Meigs,2010,83.5,16.5
251,30222,6657,Monroe,2010,81.95,18.05
252,134417,21403,Montgomery,2010,86.26,13.74
253,4348,785,Moore,2010,84.71,15.29
254,13820,2697,Morgan,2010,83.67,16.33
255,21857,4264,Obion,2010,83.68,16.32
256,15061,3072,Overton,2010,83.06,16.94
257,5096,1278,Perry,2010,79.95,20.05
258,3074,835,Pickett,2010,78.64,21.36
259,11365,2398,Polk,2010,82.58,17.42
260,48270,11109,Putnam,2010,81.29,18.71
261,21543,4460,Rhea,2010,82.85,17.15
262,37460,6117,Roane,2010,85.96,14.04
263,48171,9792,Robertson,2010,83.11,16.89
264,200034,36554,Rutherford,2010,84.55,15.45
265,15623,3325,Scott,2010,82.45,17.55
266,9711,2026,Sequatchie,2010,82.74,17.26
267,59071,16161,Sevier,2010,78.52,21.48
268,670665,143767,Shelby,2010,82.35,17.65
269,13633,2762,Smith,2010,83.15,16.85
270,9185,1838,Stewart,2010,83.33,16.67
271,106404,19222,Sullivan,2010,84.7,15.3
272,117854,21472,Sumner,2010,84.59,15.41
273,45668,7541,Tipton,2010,85.83,14.17
274,5548,1180,Trousdale,2010,82.46,17.54
275,12174,2352,Unicoi,2010,83.81,16.19
276,13295,2980,Union,2010,81.69,18.31
277,3697,827,Van Buren,2010,81.72,18.28
278,26084,7325,Warren,2010,78.07,21.93
279,85467,15135,Washington,2010,84.96,15.04
280,10052,2232,Wayne,2010,81.83,18.17
281,22581,5064,Weakley,2010,81.68,18.32
282,17299,3745,White,2010,82.2,17.8
283,149970,13859,Williamson,2010,91.54,8.46
284,86631,12556,Wilson,2010,87.34,12.66
285,51838,9447,Anderson,2011,84.59,15.41
286,31089,8060,Bedford,2011,79.41,20.59
287,10609,2424,Benton,2011,81.4,18.6
288,7705,2074,Bledsoe,2011,78.79,21.21
289,85285,16424,Blount,2011,83.85,16.15
290,67955,15233,Bradley,2011,81.69,18.31
291,27713,5497,Campbell,2011,83.45,16.55
292,9439,1933,Cannon,2011,83.0,17.0
293,18915,3638,Carroll,2011,83.87,16.13
294,37885,8340,Carter,2011,81.96,18.04
295,29066,5235,Cheatham,2011,84.74,15.26
296,11090,2388,Chester,2011,82.28,17.72
297,21636,4177,Claiborne,2011,83.82,16.18
298,4939,1224,Clay,2011,80.14,19.86
299,23801,5447,Cocke,2011,81.38,18.62
300,36490,7630,Coffee,2011,82.71,17.29
301,9836,2283,Crockett,2011,81.16,18.84
302,33210,8156,Cumberland,2011,80.28,19.72
303,438566,105807,Davidson,2011,80.56,19.44
304,7495,1691,Decatur,2011,81.59,18.41
305,12513,3172,DeKalb,2011,79.78,20.22
306,35325,7573,Dickson,2011,82.35,17.65
307,27282,4910,Dyer,2011,84.75,15.25
308,27459,4532,Fayette,2011,85.83,14.17
309,12137,2639,Fentress,2011,82.14,17.86
310,27029,5050,Franklin,2011,84.26,15.74
311,34670,6551,Gibson,2011,84.11,15.89
312,19764,4075,Giles,2011,82.91,17.09
313,15437,3558,Grainger,2011,81.27,18.73
314,45643,10164,Greene,2011,81.79,18.21
315,8992,2028,Grundy,2011,81.6,18.4
316,42033,10395,Hamblen,2011,80.17,19.83
317,236177,45805,Hamilton,2011,83.76,16.24
318,4469,983,Hancock,2011,81.97,18.03
319,16205,3148,Hardeman,2011,83.73,16.27
320,17074,3822,Hardin,2011,81.71,18.29
321,39299,7439,Hawkins,2011,84.08,15.92
322,13091,2608,Haywood,2011,83.39,16.61
323,19817,3763,Henderson,2011,84.04,15.96
324,21090,4556,Henry,2011,82.24,17.76
325,15887,3635,Hickman,2011,81.38,18.62
326,5616,1138,Houston,2011,83.15,16.85
327,12435,2556,Humphreys,2011,82.95,17.05
328,7490,1760,Jackson,2011,80.97,19.03
329,34340,7306,Jefferson,2011,82.46,17.54
330,10840,2309,Johnson,2011,82.44,17.56
331,312695,54572,Knox,2011,85.14,14.86
332,3673,695,Lake,2011,84.09,15.91
333,18006,3516,Lauderdale,2011,83.66,16.34
334,28887,6146,Lawrence,2011,82.46,17.54
335,8166,1910,Lewis,2011,81.04,18.96
336,22995,4547,Lincoln,2011,83.49,16.51
337,31467,6405,Loudon,2011,83.09,16.91
338,35496,7339,McMinn,2011,82.87,17.13
339,17658,3689,McNairy,2011,82.72,17.28
340,15147,3981,Macon,2011,79.19,20.81
341,67719,13508,Madison,2011,83.37,16.63
342,19483,3942,Marion,2011,83.17,16.83
343,21491,5022,Marshall,2011,81.06,18.94
344,58842,10998,Maury,2011,84.25,15.75
345,7946,1642,Meigs,2011,82.87,17.13
346,29915,7097,Monroe,2011,80.83,19.17
347,133645,25444,Montgomery,2011,84.01,15.99
348,4304,829,Moore,2011,83.85,16.15
349,13613,2767,Morgan,2011,83.11,16.89
350,21884,4144,Obion,2011,84.08,15.92
351,14988,3166,Overton,2011,82.56,17.44
352,5085,1244,Perry,2011,80.34,19.66
353,3066,879,Pickett,2011,77.72,22.28
354,11198,2542,Polk,2011,81.5,18.5
355,47512,12171,Putnam,2011,79.61,20.39
356,21575,4574,Rhea,2011,82.51,17.49
357,36704,6409,Roane,2011,85.13,14.87
358,48109,10326,Robertson,2011,82.33,17.67
359,201127,39817,Rutherford,2011,83.47,16.53
360,15407,3462,Scott,2011,81.65,18.35
361,9755,2075,Sequatchie,2011,82.46,17.54
362,59352,16914,Sevier,2011,77.82,22.18
363,668860,148501,Shelby,2011,81.83,18.17
364,13663,2737,Smith,2011,83.31,16.69
365,8996,1887,Stewart,2011,82.66,17.34
366,106085,19688,Sullivan,2011,84.35,15.65
367,119621,21253,Sumner,2011,84.91,15.09
368,45688,7540,Tipton,2011,85.83,14.17
369,5477,1208,Trousdale,2011,81.93,18.07
370,12003,2541,Unicoi,2011,82.53,17.47
371,13325,3057,Union,2011,81.34,18.66
372,3612,837,Van Buren,2011,81.19,18.81
373,26430,7078,Warren,2011,78.88,21.12
374,83787,17287,Washington,2011,82.9,17.1
375,9843,2399,Wayne,2011,80.4,19.6
376,22692,4920,Weakley,2011,82.18,17.82
377,17420,3837,White,2011,81.95,18.05
378,151292,15370,Williamson,2011,90.78,9.22
379,86608,13860,Wilson,2011,86.2,13.8
380,52825,8247,Anderson,2012,86.5,13.5
